iter	Passed	Remaining
0	310	217314
1	604	211030
2	893	207554
3	1195	207936
4	1490	207192
5	1800	208260
6	2368	234515
7	2669	230888
8	3089	237226
9	3404	234897
10	3717	232829
11	4157	238362
12	4436	234440
13	4833	236862
14	5106	233205
15	5930	253518
16	6178	248249
17	6563	248671
18	6758	242241
19	7152	243198
20	7302	236112
21	7449	229568
22	7548	222193
23	7638	215145
24	7739	208976
25	7838	203192
26	7943	198000
27	8042	193015
28	8142	188399
29	8253	184331
30	8360	180417
31	8475	176918
32	8583	173496
33	8681	170062
34	8785	166926
35	8869	163585
36	8954	160457
37	9044	157559
38	9137	154876
39	9227	152247
40	9315	149725
41	9407	147381
42	9499	145148
43	9587	142942
44	9677	140861
45	9758	138735
46	9843	136766
47	9935	134959
48	10023	133166
49	10111	131444
50	10204	129853
51	10298	128334
52	10390	126846
53	10510	125736
54	10632	124695
55	10737	123479
56	10826	122128
57	10933	121018
58	11033	119877
59	11124	118661
60	11217	117512
61	11312	116413
62	11405	115320
63	11506	114347
64	11602	113344
65	11690	112302
66	11781	111306
67	11872	110340
68	11964	109411
69	12048	108440
70	12143	107581
71	12229	106667
72	12313	105762
73	12410	104986
74	12495	104132
75	12589	103364
76	12682	102611
77	12775	101879
78	12856	101058
79	12942	100306
80	13031	99588
81	13121	98889
82	13209	98195
83	13294	97494
84	13385	96851
85	13480	96243
86	13574	95645
87	13667	95053
88	13764	94497
89	13853	93897
90	13934	93253
91	14026	92698
92	14109	92092
93	14196	91520
94	14283	90962
95	14379	90468
96	14479	90014
97	14575	89532
98	14672	89069
99	14779	88676
100	14886	88286
101	14985	87856
102	15079	87403
103	15181	87001
104	15275	86561
105	15367	86118
106	15461	85691
107	15695	86035
108	15971	86599
109	16348	87688
110	16628	88234
111	16892	88686
112	17250	89610
113	17626	90607
114	17883	90972
115	18275	92006
116	18646	92911
117	18942	93429
118	19245	93961
119	19540	94444
120	19816	94823
121	20088	95172
122	20355	95487
123	20621	95791
124	20955	96396
125	21303	97051
126	21514	97069
127	21779	97326
128	22015	97448
129	22315	97846
130	22621	98257
131	23107	99432
132	23278	99239
133	23799	100524
134	23997	100434
135	24399	101184
136	24717	101575
137	25052	102023
138	25310	102154
139	25604	102416
140	25993	103051
141	26104	102579
142	26248	102240
143	26350	101742
144	26444	101217
145	26530	100669
146	26619	100139
147	26715	99642
148	26813	99155
149	26914	98687
150	27007	98191
151	27103	97714
152	27203	97258
153	27316	96849
154	27406	96366
155	27500	95897
156	27591	95427
157	27679	94951
158	27762	94463
159	27845	93979
160	27935	93522
161	28026	93076
162	28112	92616
163	28195	92151
164	28292	91735
165	28381	91300
166	28473	90877
167	28570	90473
168	28680	90113
169	28774	89708
170	28868	89308
171	28955	88887
172	29045	88479
173	29134	88072
174	29231	87695
175	29323	87302
176	29414	86913
177	29510	86542
178	29608	86178
179	29702	85806
180	29794	85434
181	29883	85053
182	29969	84667
183	30055	84287
184	30147	83924
185	30235	83552
186	30325	83191
187	30421	82850
188	30527	82538
189	30625	82204
190	30729	81892
191	30832	81578
192	30929	81251
193	31041	80964
194	31144	80656
195	31238	80327
196	31333	80004
197	31418	79656
198	31508	79324
199	31606	79015
200	31712	78730
201	31824	78457
202	31936	78188
203	32038	77897
204	32174	77688
205	32266	77376
206	32363	77078
207	32452	76763
208	32535	76435
209	32622	76118
210	32710	75808
211	32790	75480
212	32877	75169
213	32965	74864
214	33049	74554
215	33136	74249
216	33225	73953
217	33313	73657
218	33399	73356
219	33491	73073
220	33584	72792
221	33674	72505
222	33763	72220
223	33846	71923
224	33930	71630
225	34025	71362
226	34112	71079
227	34201	70803
228	34295	70537
229	34382	70260
230	34468	69981
231	34570	69737
232	34684	69517
233	34775	69253
234	34861	68980
235	34945	68705
236	35028	68431
237	35119	68173
238	35205	67906
239	35298	67655
240	35398	67419
241	35495	67176
242	35587	66927
243	35688	66696
244	35810	66504
245	35949	66345
246	36097	66202
247	36235	66042
248	36368	65872
249	36504	65708
250	36676	65608
251	36808	65437
252	36921	65232
253	37046	65050
254	37158	64845
255	37298	64688
256	37440	64537
257	37568	64361
258	37691	64176
259	37800	63969
260	37946	63825
261	38068	63640
262	38185	63449
263	38285	63229
264	38371	62986
265	38489	62798
266	38602	62602
267	38692	62369
268	38790	62152
269	38884	61927
270	38975	61699
271	39067	61473
272	39156	61244
273	39250	61024
274	39339	60797
275	39428	60572
276	39517	60346
277	39617	60138
278	39700	59906
279	39782	59674
280	39872	59453
281	39961	59234
282	40047	59010
283	40140	58797
284	40229	58579
285	40320	58365
286	40408	58148
287	40496	57932
288	40581	57713
289	40674	57504
290	40762	57290
291	40856	57087
292	40988	56936
293	41102	56760
294	41215	56583
295	41314	56389
296	41413	56194
297	41514	56002
298	41605	55798
299	41696	55595
300	41788	55393
301	41885	55199
302	41975	54997
303	42061	54790
304	42148	54585
305	42235	54381
306	42321	54176
307	42412	53979
308	42508	53789
309	42597	53590
310	42689	53396
311	42768	53186
312	42852	52983
313	42936	52781
314	43023	52584
315	43107	52383
316	43199	52194
317	43287	51999
318	43378	51808
319	43461	51610
320	43550	51419
321	43636	51225
322	43723	51033
323	43812	50843
324	43898	50652
325	43993	50471
326	44085	50287
327	44175	50101
328	44265	49916
329	44350	49725
330	44437	49538
331	44521	49349
332	44615	49171
333	44702	48985
334	44789	48800
335	44875	48614
336	44961	48430
337	45052	48251
338	45147	48076
339	45249	47911
340	45359	47753
341	45466	47593
342	45574	47434
343	45688	47282
344	45798	47126
345	45904	46966
346	46063	46859
347	46361	46894
348	46728	46996
349	47027	47027
350	47194	46925
351	47476	46936
352	47747	46936
353	48042	46956
354	48321	46960
355	48607	46969
356	48833	46918
357	49178	46980
358	49456	46976
359	49680	46920
360	49958	46913
361	50204	46875
362	50498	46881
363	50771	46865
364	51019	46825
365	51185	46710
366	51474	46705
367	51746	46683
368	52028	46670
369	52356	46696
370	52529	46582
371	52813	46567
372	53100	46551
373	53384	46532
374	53647	46494
375	53918	46461
376	54163	46405
377	54437	46373
378	54716	46342
379	54983	46301
380	55262	46269
381	55519	46218
382	55783	46170
383	55957	46048
384	56230	46007
385	56514	45972
386	56801	45940
387	57084	45902
388	57344	45846
389	57639	45815
390	57911	45766
391	58190	45720
392	58485	45686
393	58757	45633
394	58996	45554
395	59201	45447
396	59446	45370
397	59716	45312
398	59968	45239
399	60252	45189
400	60503	45113
401	60783	45058
402	61077	45012
